District,BAPerctentIncrease,AvgSalary,FTE,StudentDays,ContractDays,InserviceDays,Holidays
Beaverton 48J *,4.16,"62,269",1971,0,193,0,5
Bend-La Pine 1,1.5,"59,666",834,174,190,5,5
Bethel 52,2.75,"55,853",250,0,192,0,5
Canby 86 No Incr,0,"60,062",200,171,191,5.5,6
Centennial 28J *,0.75,"65,248",304,0,192,0,6
Central Point 6,1.5,"61,199",191,176,190,8,6
Corvallis 509J,2,"59,044",342,173,190,4,5
Crook County,1,"55,790",179,169,190,17,4
Dallas 2,2,"54,571",144,172,190,14,4
David Douglas 40 *,3.07,"66,206",584,181,192,6,5
Eagle Point 9,2.51,"57,466",170,176,190,8,6
Eugene 4J,4.36,"57,970",846,172.5,189,11.5,5
Forest Grove *,2.3,"65,233",247,171,190,5,5
Grants Pass 7 *,2.49,"69,393",267,170,190,2,5
Greater Albany 8J,1,"60,226",439,176,190,4,5
Gresham-Barlow 10,3.16,"64,798",573,172,191,5,6
Hermiston 8,1.5,"55,800",274,173,189,9,3
Hillsboro 1J *,1.06,"62,238",999,175,191,3,5
Hood River County,1,"61,807",231,174,190,3,5
Klamath County,2,"56,677",368,170,190,5,5
Klamath Falls City Schools,2,"58,811",201,172,190,4,5
Lebanon Community Schools,0,"49,660",200,173,191,9,7
Lincoln County Schools,3.22,"54,624",295,170,190,9,5
McMinnville 40,1.75,"59,668",340,174,190,6,5
Medford 549C,2.5,"57,883",675,175,182,8,7
Newberg 29J,1.5,"57,529",277,173.5,190,11.5,5
North Bend 13,2.5,"45,124",202,175,191,9,8
North Clackamas 12,2,"58,583",801,171,188,12,5
Oregon City 62 *,5.591,"65,210",432,165,190,7.5,6
Oregon Trail 46 *,1.5,"58,988",188,173,190,9,8
Parkrose 3,1,"64,310",159,173,191,13,5
Pendleton 16 *,2,"61,872",170,170,187,8,5
Portland 1J *,4.922,"60,404",2633,176,190,8,6
Redmond 2J *,2.04,"54,383",374,170.5,190,5,6
Reynolds 7 *,1.5,"63,258",600,175,186,4,0
Roseburg Public Schools,1,"55,237",311,177,192,8,7
Salem-Keizer 24J,4.73,"61,773",1959,177,192,7,7
Scio 95,0,"40,165",147,170.5,190,8.5,5
Sherwood 88J,4.15,"59,868",245,178,190,4,5
Silver Falls 4J,2.5,"55,081",224,174,192,10,5
Springfield 19,2.12,"55,426",530,175,193,5,6
St Helens 502 *,3.55,"59,175",164,177,190,6,5
Three Rivers/Josephine CU,2.73,"59,384",212,180,190,5,5
Tigard-Tualatin 23J,1,"64,656",621,180,189,3,5
West Linn-Wilsonville 3J,0.5,"59,870",463,173,191,12,6
Woodburn 103,1,"57,362",285,173,191,9,5
Ashland 5,1.75,"59,009",170,170,190,15,5
Astoria 1C *,1.25,"54,369",108,177,186,7,3
Baker 5J,1.4,"52,188",123,147,192,1.5,5
Banks 13,4.77,"52,876",56,174,189,4,5
Brookings-Harbor 17,-1.961,"51,017",81,174,192,4,7
Cascade 5,1,"50,630",127,174,191,6,5
Central 13J,3,"51,716",129,168,191,3,6
Coos Bay 9,1.5,"47,985",152,175,190,3,6
Creswell 40,1,"60,729",59,174,190,5,5
Estacada 108 *,1.25,"54,341",109,172,190,4,6
Fern Ridge 28J,1.5,"55,257",78,173,190,3,4
Gervais 1,1.01,"54,520",62,170,190,4.5,5
Gladstone 115,3,"52,803",93,170.5,186,12.5,3
Junction City 69,1.25,"56,084",92,174,191,12,5
La Grande 1,1,"51,392",114,175,175,7,6
Milton-Freewater 7,0,"50,399",100,178,189,5,6
Molalla River *,1,"49,277",144,171,190,13,6
Morrow 1,3,"50,626",178,150,190,15,4
North Marion 15,0,"57,285",95,171,172,1,5
North Santiam 29,1.5,"49,174",134,172,190,4,5
North Wasco County 21,2,"56,421",155,175,190,2,4
Nyssa 26,1,"52,100",75,162,190,3.5,7
Ontario 8C,3,"51,863",135,176,191,4,5
Philomath 17J,2.5,"52,031",102,173,190,11,6
Phoenix-Talent 4,1.5,"58,161",133,173,190,11,6
Scappoose 1J *,1,"52,295",124,173,190,6,5
Sheridan 48J,1,"50,356",61,171,190,8,5
