District,BAPerctentIncrease,AvgSalary,FTE,StudentDays,ContractDays,InserviceDays,Holidays
Sisters 6,0,"57,823",65,175,187,7,6
Siuslaw 97J,2,"57,239",74,177,191,8,6
South Lane 45J *,1.75,"62,772",149,177,190,8,5
Sutherlin 130 *,1.5,"55,057",75,176,190,8,4
Sweet Home 55,2.5,"49,937",126,148,178,24,6
Tillamook 9,4,"49,206",115,169,190,13,8
Umatilla 6 *,0,"57,817",76,0,185,0,3
Winston-Dillard 116,1.25,"51,498",77,149,190,20,5
Bandon 54,1,"55,682",42,173,191,12,6
Clatskanie 6J *,2,"54,323",42,174,190,1,6
Coquille 8,2,"54,186",44,167,190,3.8,8
Dayton 8 *,4.29,"53,223",57,170,190,10,6
Gaston 511J *,1,"52,276",61,170,188,12,5
Glide 12,1,"53,028",38,147,147,12,5
Harney County 3 *,2,"50,975",59,149,190,5,5
Harrisburg 7,1,"42,101",76,150,171,5,6
John Day 3 *,3,"54,413",43,147,190,3,7
Lake County 7,2,"51,108",60,174,190,4,5
Mt Angel 91,1.5,"51,857",44,173,192,3,6
Neah-Kah-Nie 56 *,1.95,"58,020",55,170,191,8,8
Oakridge 76,5.021,"55,714",41,150,174,4,6
Pleasant Hill 1,2,"55,155",48,175,191,11,5
Rainier 13,1,"52,764",55,173,187,6,6
Rogue River 35,3.03,"54,149",50,174,191,7,7
Vale 84,2,"56,039",50,148,175,6,6
Warrenton-Hammond 30 *,6.732,"44,210",55,173,189,5,5
Willamina 30J,2,"51,841",53,171,185,3,5
Adrian 61,1,"52,159",25,150,185,7,0
Annex 29,2,"40,886",4,164,181,10,7
Arlington 3,0,"55,522",12,154,190,8,7
Blachly 90,0,"58,927",20,150,190,13,7
Burnt River 30J,2,"51,015",5,145,157,5,7
Camas Valley 21,0,"42,248",17,148.5,190,14,5
Dayville 16J *,2,"42,889",6,155,176,13,8
Echo 5 *,1.5,"46,780",21,147,168,6,6
Elgin 23,2,"52,081",33,148,164,12,6
Elkton 34,2.3,"44,770",33,151,190,11,4
Enterprise 21,1,"60,289",27,151,189,4,8
Falls City 57 *,2.5,"40,037",10,151,190,5,4
Fossil 21J,2,"49,529",13,156,179,17,8
Glendale 77,0,"53,864",15,152,174,5,6
Huntington 16J,0,"38,231",11,147,165,9,8
Imbler 11,2,"50,740",22,176,186,3,4
Joseph 6,2.5,"54,224",22,153,170,10.5,6
Knappa 4 *,2.64,"41,923",34,176,190,6,6
Long Creek 17,0,"49,573",5,144,170,19,7
Lowell 71,1.5,"50,333",15,175,194,7,9
Mapleton 32,8.221,"39,328",14,147,169,16,6
McKenzie 68,3,"47,158",13,148,167,14,5
Monroe 1J,1,"53,622",25,166.5,190,17.5,6
North Douglas 22,2,"49,633",25,177,190,4,4
North Lake 14,1.52,"49,025",18,146,166,7,6
North Powder 8J,0.5,"53,759",19,147,160,5,8
Oakland 1,1,"54,652",26,148,168,20,7
Paisley 11,2,"39,367",13,147,163,2,5
Pilot Rock 2 *,2,"56,588",21,158,191,10,6
Pine Eagle 61,4,"45,746",22,145,157,12,7
Port Orford-Langlois *,1,"49,483",21,173,189,6,5
Powers 31,2,"48,372",18,178,190,6,6
Prairie City 4,2,"49,550",14,153,190,6,9
Prospect 59,3,"46,519",17,143,159,10,6
South Wasco County 1,5.262,"52,944",17,176,194,4,6
Stanfield 61R *,1.1,"50,863",28,0,0,0,6
Union 5,1.5,"54,132",28,147,159,4,6
Wallowa 12,0.75,"59,070",22,150,185,20,5
