District,BAPerctentIncrease,AvgSalary,FTE,StudentDays,ContractDays,InserviceDays,Holidays
Bend-La Pine 1,2.54,"60,802",855,175,190,6,5
Bethel 52 *,1.5,"59,130",269,175,192,8,5
Canby 86,6.84,"61,613",243,171,191,6.5,6
Centennial 28J *,2.76,"64,933",314,172,192,4,6
Central Point 6,2,"61,873",196,176,190,7,6
David Douglas 40 *,2,"63,994",593,181.5,192,5.5,5
Eagle Point 9,2,"56,689",181,176,190,8,6
Eugene 4J,1.1,"60,982",830,172.5,190,11.5,5
Greater Albany 8J,2.25,"59,747",475,176,190,4,5
Gresham-Barlow 10,2,"66,377",572,175,191,4,6
Hermiston 8,3,"56,138",270,173,189,9,3
Hood River County,1.89,"63,401",225,174,190,6,5
Klamath County,2.7,"57,912",344,170,190,5,5
Klamath Falls City Schools,2.3,"60,761",197,172,190,5,5
Lake Oswego 7J,2,"65,225",371,174.5,191,5,6
Lincoln County Schools,15.761,"54,185",308,172,190,7,5
McMinnville 40,2.5,"59,271",374,174,190,11,5
Medford 549C,3,"57,947",685,175,182,8,7
Newberg 29J,3.5,"59,247",267,173.5,190,2.5,5
North Bend 13,2,"45,946",209,175,191,8,8
Oregon City 62 *,0,"59,844",444,169,191,7,6
Oregon Trail 46,1.5,"61,931",190,174,190,9,8
Parkrose 3,2,"67,692",156,172.5,191,8.625,5
Pendleton 16 *,2,"61,991",172,170,187,8,5
Portland 1J *,2.3,"63,194",2929,178,190,8,6
Redmond 2J *,3.16,"55,645",379,171.5,190,5,6
Reynolds 7 *,2,"60,843",638,172,186,10,0
Roseburg Public Schools,2,"53,912",311,177,192,7,7
Scio 95,7.1,"41,982",149,170.5,190,9,5
Sherwood 88J,2.25,"61,949",253,175,190,10,5
Silver Falls 4J,2,"56,422",225,174,192,10,5
Springfield 19,5.822,"57,111",513,175,193,5,6
St Helens 502 *,3,"58,560",160,175,190,6,5
Three Rivers/Josephine CU,0,"60,365",213,185,190,5,5
West Linn-Wilsonville 3J,4,"59,682",486,175,191,10,6
Woodburn 103,2,"57,307",287,173,191,8,5
Ashland 5,2.54,"60,037",169,177,190,9,5
Baker 5J,0,"52,555",131,147,191,6.5,8
Banks 13,2,"55,444",57,169,189,4,5
Brookings-Harbor 17,2,"52,431",78,174,192,5,7
Cascade 5,3.25,"51,442",124,174,191,5,5
Coos Bay 9,1.75,"50,379",148,175,190,3,6
Corbett 39,3,"59,787",61,148,164,3,5
Creswell 40,1,"60,165",63,172,190,7,5
Dallas 2,3,"55,611",147,171,190,15,4
Estacada 108 *,26.01,"57,162",108,0,190,0,6
Fern Ridge 28J,1.75,"55,823",77,172,190,3,4
Gervais 1,1,"56,072",60,167,190,5,5
Gladstone 115,0,"54,413",105,173,188,12,3
Junction City 69,1.5,"55,409",94,174,191,12,5
La Grande 1,1,"51,114",116,175,175,7,6
Molalla River *,7.37,"49,479",149,172,190,3,6
Morrow 1,5,"53,633",132,150,190,6,4
North Marion 15,2,"54,891",97,171,172,2,5
North Santiam 29,1.75,"50,854",148,172,190,4,5
Nyssa 26,2,"52,519",73,162.5,190,8.5,7
Ontario 8C,2,"52,928",138,176,191,4,5
Philomath 17J,2,"54,118",97,173,190,11,6
Phoenix-Talent 4,2.5,"59,205",139,167,190,12,6
Scappoose 1J *,0,"53,286",121,173,190,4,5
Seaside 10 *,2.25,"63,931",85,176,190,9,5
Sheridan 48J,2.75,"50,181",60,174,190,7,5
Sisters 6,3.09,"57,756",63,175,187,9,6
Siuslaw 97J,0.5,"56,707",73,177,191,8,6
Sutherlin 130 *,2,"55,541",77,176,190,8,4
Sweet Home 55,2,"49,966",140,149,178,23,6
Tillamook 9,0,"49,483",114,170,190,10,8
Umatilla 6,2,"55,756",74,178,185,4,3
Winston-Dillard 116,3.6,"51,461",84,148,190,10,5
Amity 4J,2,"52,332",60,150,175,18,7
Central Linn 552,0,"44,256",44,152,190,33,7
Clatskanie 6J *,2.5,"55,283",34,174,190,1,6
Colton 53,2,"50,085",40,144,172,9,5
Coquille 8,3,"53,791",46,179,190,6,8
Dayton 8 *,2.5,"55,284",58,171,190,7,6
Gaston 511J *,2,"51,245",32,171,188,6,5
Glide 12,3,"53,956",45,147,147,18,5
Harrisburg 7,1.96,"45,091",79,149,171,13,6
Jefferson 14J *,0,"54,683",50,169,190,4.5,6
John Day 3,0,"52,778",44,156,190,3,7
Lake County 7,1.5,"53,394",62,172,190,4,5
Mt Angel 91,1.97,"54,107",47,173,192,3,6
Myrtle Point 41,1.96,"51,179",41,167,190,18,5
Neah-Kah-Nie 56 *,2,"60,252",57,171,191,7,8
Oakridge 76,2,"56,269",49,149,174,4,6
Pleasant Hill 1 *,2,"56,779",49,175,191,11,5
Rainier 13,2,"52,761",53,173,187,6,6
Reedsport 105,2,"52,628",30,152.5,190,7,6
Vale 84,2.5,"56,451",53,148,175,6,6
Vernonia 47J,1.97,"51,984",40,157,175,12,6
Warrenton-Hammond 30 *,10.614,"44,737",58,176,189,9,5
Willamina 30J,1.5,"53,475",52,173,185,3,5
Adrian 61,4,"53,664",28,150,185,8,0
Blachly 90,1,"58,606",20,150,190,8,7
Burnt River 30J,2,"47,818",5,145,157,5,7
Camas Valley 21,3.5,"42,646",20,148.5,190,14,5
Cove 15,9.13,"53,863",18,148,161,7,6
Crow-Applegate 66,1,"50,268",21,177,190,8,4
Days Creek 15,2.04,"53,467",14,149,190,20,7
Elgin 23,2,"50,176",33,148,164,12,6
Elkton 34,2,"45,574",31,151,190,11,4
Enterprise 21 *,0,"59,796",27,151,189,4.5,8
Falls City 57,2.3,"40,932",11,151,190,5,4
Fossil 21J,3,"50,050",14,164,189,17,8
Helix 1,3,"41,230",17,176,176,4,0
Imbler 11,4,"52,571",22,176,186,3,4
Jordan Valley 3,3,"39,779",7,150,180,10,20
Joseph 6,2.6,"57,877",22,151,170,4,6
Knappa 4 *,1,"46,200",33,176,190,6,6
Lowell 71,2,"43,424",26,175,194,7,9
Mapleton 32,0,"40,953",15,143,169,17,6
Marcola 79J,2,"58,353",13,146,170,5,7
Mitchell 55,2,"45,935",6,150,171,13,8
Monroe 1J,1,"51,983",38,170.5,190,13.5,6
North Douglas 22,3.67,"48,980",24,177,190,5,4
Oakland 1,2,"52,866",33,148,168,20,7
Paisley 11,3.5,"42,509",12,147,163,11,5
Perrydale 21J *,1.5,"52,031",18,150,168,12,6
Pilot Rock 2 *,2,"54,793",19,158,191,10,0
Pine Eagle 61,4,"48,333",19,145,157,9,8
Powers 31,1,"47,264",17,177,190,4,5
Sherman 1,1,"44,857",22,175,190,9,6
Spray 1,0.5,"45,479",7,148,153,5,0
Stanfield 61R *,1.6,"48,907",31,0,168,0,6
Union 5,2,"55,493",23,147,159,4,6
Wallowa 12,0.75,"55,004",20,150,185,5,5
Wallowa 12,0.75,"55,004",20,150,185,5,5
